__run_id,__done,algorithm,arena,map_resolution,linear_update,angular_update,repetition,avg_cpu,avg_mem,energy,rosbag_msg_size,mean_of_known_cells,amount_of_known_cells,amount_above_mean,proportion_occupied,enclosed_area_count,corner_count
run_112,DONE,cartographer,circular,0.05,0.2,0.9,4,42.244801018432284,692738290.2461005,960260.8234572309,5873864,96.93474148802018,3172,936,29.508196721311474,4,64
run_113,DONE,karto,point_to_point,0.1,1.0,0.0174,3,28.244889648253327,656770314.6502311,813439.6791291836,3252008,73.58369098712447,932,270,28.96995708154507,1,52
run_114,DONE,hector,circular,0.1,0.2,0.9,1,27.497241428192787,786320218.8387097,933741.2526529066,3775272,68.16125150421179,831,223,26.835138387484957,4,50
run_115,DONE,cartographer,circular,0.1,0.2,0.0174,2,43.900130058654874,694762747.5709343,958368.1079165316,5860248,75.3576354679803,1015,427,42.06896551724138,3,42
run_116,DONE,gmapping,circular,0.05,1.0,0.0174,3,44.014248345503475,660110486.8044376,979680.929248116,3983312,49.432549504950494,3232,629,19.46163366336634,17,62
run_117,DONE,hector,circular,0.05,0.2,0.0174,3,28.705314452717854,783186604.7829938,938537.9927796738,3754176,53.557888422315536,3334,703,21.085782843431314,62,70
run_118,DONE,cartographer,circular,0.05,0.2,0.0174,3,42.634315091001184,691344108.4355923,962175.4864538277,5843720,49.96643159379408,3545,1053,29.70380818053597,3,47
run_119,DONE,karto,point_to_point,0.1,0.2,0.0174,2,28.49907582568265,653582037.3442875,812631.9687386656,3251272,73.43257820927724,927,268,28.91046386192017,1,52
run_120,DONE,karto,point_to_point,0.1,1.0,0.0174,4,27.90261547871125,653451352.2215384,811198.7534468086,3236088,70.63101604278074,935,260,27.807486631016044,1,26
run_121,DONE,cartographer,point_to_point,0.1,1.0,0.0174,5,43.58890028111683,689744897.2771263,827514.8853733017,5092000,77.97219558964525,1043,417,39.98082454458293,1,35
run_122,DONE,cartographer,circular,0.05,1.0,0.9,2,42.59878928417978,689999243.9584775,957636.0318960856,5865584,119.95459317585302,3810,1822,47.821522309711284,29,189
run_123,DONE,cartographer,circular,0.05,1.0,0.9,3,43.89158588700704,689690974.4148822,957961.0251115792,5863712,119.86777954425013,3774,1719,45.548489666136724,45,208
run_124,DONE,cartographer,point_to_point,0.1,0.2,0.0174,1,41.054970351370656,690486956.3716284,826912.7907582937,5087568,71.72292682926829,1025,377,36.78048780487805,1,28
run_125,DONE,hector,circular,0.05,1.0,0.0174,3,30.436951268836125,788105523.2670889,932611.4209941996,3756192,51.111179173047475,3265,657,20.12251148545176,29,67
run_126,DONE,gmapping,circular,0.05,1.0,0.9,4,28.94912442207548,658810291.1602749,940807.0183956842,3759296,40.004584151931894,3054,481,15.749836280288147,8,55
run_127,DONE,gmapping,point_to_point,0.05,1.0,0.9,2,31.15300021194316,658615334.8209893,809924.785514807,3269456,40.262088698140204,3495,554,15.851216022889842,11,112
run_128,DONE,hector,circular,0.1,1.0,0.0174,1,27.504103190588843,786728293.252018,935629.7728614016,3750952,71.85261489698891,1262,357,28.28843106180666,5,108
run_129,DONE,cartographer,point_to_point,0.05,0.2,0.9,2,41.08195448325852,689483765.7906281,829808.4335985061,5087192,110.63828571428571,3500,743,21.228571428571428,2,38
run_130,DONE,hector,circular,0.05,0.2,0.0174,4,27.788057723524553,780763501.4835511,933674.8615734419,3755208,51.33634992458522,3315,670,20.211161387631975,48,58
run_131,DONE,karto,circular,0.1,1.0,0.9,2,29.25317285859089,651805724.2328228,931234.629206659,3719216,64.31202046035806,782,198,25.31969309462916,3,38
run_132,DONE,hector,circular,0.1,1.0,0.0174,2,27.49784545843361,784381687.2430031,944942.0464047258,3762560,74.53394706559264,869,255,29.344073647871117,5,39
run_133,DONE,cartographer,circular,0.05,0.2,0.9,5,44.26798730536457,690644395.3316017,962300.879359023,5876984,96.70588235294117,3162,915,28.937381404174573,3,69
run_134,DONE,cartographer,circular,0.1,1.0,0.9,2,43.46003495658417,689606841.335354,960456.7009614449,5889960,122.87011349306431,793,247,31.147540983606557,4,48
run_135,DONE,karto,point_to_point,0.05,0.2,0.0174,3,28.902139654951444,654710855.9877738,810963.9811890606,3257232,46.90893617021277,3525,651,18.46808510638298,2,44
run_136,DONE,gmapping,circular,0.05,0.2,0.9,2,34.51758810993273,660138059.7858076,945082.6198915284,3813056,44.51047619047619,3150,552,17.523809523809526,14,64
run_137,DONE,hector,point_to_point,0.05,0.2,0.9,3,30.706733634603683,780170544.6271356,809790.5438951638,3261768,43.52616446233468,3478,596,17.136285221391603,7,63
run_138,DONE,cartographer,circular,0.1,1.0,0.0174,3,43.28822664726536,692083318.5637468,958745.0338905116,5851480,69.19096509240246,974,378,38.809034907597535,2,62
run_139,DONE,gmapping,circular,0.1,1.0,0.9,3,28.93808047238045,654526910.3648077,936881.1240162646,3749176,68.19211822660098,812,218,26.84729064039409,3,49
run_140,DONE,karto,circular,0.1,0.2,0.0174,3,31.286171603078213,655881373.8815331,933016.8435304959,3744584,75.11401425178147,842,249,29.572446555819475,2,39
run_141,DONE,hector,point_to_point,0.05,0.2,0.0174,1,28.741761078918014,782437696.5932027,807911.8596528255,3265192,49.82741398446171,3604,707,19.617092119866815,21,49
run_142,DONE,karto,circular,0.05,1.0,0.0174,2,28.432763684576546,655974878.245505,932472.2738610478,3734024,49.21097989147782,3133,607,19.374401532077883,5,55
run_143,DONE,gmapping,point_to_point,0.05,0.2,0.9,2,31.00780217760622,659654674.7985723,817996.9688216831,3291312,44.57900677200903,3544,622,17.55079006772009,5,37
run_144,DONE,karto,point_to_point,0.05,1.0,0.0174,2,28.031751825675567,654407023.946653,810025.7081751188,3258504,46.57630979498861,3512,644,18.337129840546698,1,40
